"Index_Name","INDEX_CLASS","Level","Metric_Name","Numeric_Rules","Symbol","Lower","Upper","Increase","Description","Rule_Type","Exc_Rule","Note_Rule","Include_Parameter","Include_Symbol","Include_Threshold"
"LBR_Fish_BCG_v1","Main_Eckert",2,"nt_native","> 8 (7-10)",">",7,10,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"nt_nonnative","< 0 (0-1)","<",0,1,FALSE,"number of non-native taxa","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"nt_BCG_att2","≥ 3 (2-4)",">=",2,4,TRUE,"number of taxa - BCG Attribute II","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"nt_BCG_att123","≥ 5 (3-7)",">=",3,7,TRUE,"number of taxa - BCG Attribute I + II + III","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"pi_BCG_att123","≥ 90% (85-95)",">=",85,95,TRUE,"percent (0-100) individuals - BCG Attribute I + II + III","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"pi_Cott","≥ 45% (40-50)",">=",40,50,TRUE,"percent (0-100) individuals - sculpin (Family COTTIDAE)","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"nt_natLeuc","≥ 4 (3-5)",">=",3,5,TRUE,"number of taxa - native Leuciscidae (minnows)","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"pt_ti_cold","≥ 40% (35-45)",">=",35,45,TRUE,"percent (0-100) taxa - cold","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"nt_ti_warm","< 0 (0-1)","<",0,1,FALSE,"number of taxa - warm","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"nt_repro_lithophil","≥ 6 (5-7)",">=",5,7,TRUE,"number of taxa - lithophilic spawners","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"pt_topcarn","≥ 30% (25-35)",">=",25,35,TRUE,"percent (0-100) taxa - top carnivore","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"n_ac_Cott","≥ 5 (4-6)",">=",4,6,TRUE,"number of age classes - sculpin","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"n_ac_rbt","≥ 5 (4-6)",">=",4,6,TRUE,"number of age classes - rainbow trout","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"d_ac_yoy_Cott","> 0 (0-1)",">",0,1,TRUE,"presence of young of year sculpin","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"d_ac_yoy_rbt","> 0 (0-1)",">",0,1,TRUE,"presence of young of year rainbow trout","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",3,"nt_native","≥ 6 (5-7)",">=",5,7,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",3,"nt_BCG_att6t","0 (0-1)","<",0,1,FALSE,"number of tolerant non-native taxa (VI t)","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",3,"pi_nonnative","< 3% (2-3)","<",2,3,FALSE,"percent (0-100) individuals - non-native taxa","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",3,"nt_BCG_att123","> 2 (2-3)",">",2,3,TRUE,"number of taxa - BCG Attribute I + II + III","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",3,"pi_BCG_att123","> 82% (80-85)",">",80,85,TRUE,"percent (0-100) individuals - BCG Attribute I + II + III","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",3,"pi_Cott","> 37% (35-40)",">",35,40,TRUE,"percent (0-100) individuals - sculpin (Family COTTIDAE)","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",3,"nt_natLeuc","> 1 (1-2)",">",1,2,TRUE,"number of taxa - native Leuciscidae (minnows)","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",3,"pt_ti_cold","> 32% (30-35)",">",30,35,TRUE,"percent (0-100) taxa - cold","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",3,"pi_ti_warm","< 1% (0-1)","<",0,1,FALSE,"percent (0-100) individuals - warm","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",3,"nt_repro_lithophil","> 3 (3-4)",">",3,4,TRUE,"number of taxa - lithophilic spawners","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",3,"pt_topcarn","≥ 20% (15-25)",">=",15,25,TRUE,"percent (0-100) taxa - top carnivore","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",3,"n_ac_Cott","> 2 (1-4)",">",1,4,TRUE,"number of age classes - sculpin","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",3,"n_ac_rbt","> 3 (2-5)",">",2,5,TRUE,"number of age classes - rainbow trout","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",3,"d_ac_yoy_Cott","> 0 (0-1)",">",0,1,TRUE,"presence of young of year sculpin","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",3,"d_ac_yoy_rbt","> 0 (0-1)",">",0,1,TRUE,"presence of young of year rainbow trout","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",4,"nt_native","≥ 4 (3-5)",">=",3,5,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",4,"nt_BCG_att6t","< 2 (1-2)","<",1,2,FALSE,"number of tolerant non-native taxa (VI t)","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",4,"pi_nonnative","≤ 5% (3-7)","<=",3,7,FALSE,"percent (0-100) individuals - non-native taxa","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",4,"nt_BCG_att123","> 1 (1-2)",">",1,2,TRUE,"number of taxa - BCG Attribute I + II + III","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",4,"pt_ti_cold","> 27% (25-30)",">",25,30,TRUE,"percent (0-100) taxa - cold","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",4,"nt_repro_lithophil","> 2 (2-3)",">",2,3,TRUE,"number of taxa - lithophilic spawners","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",4,"d_ac_yoy_Cott","> 0 (0-1)",">",0,1,TRUE,"young of year sculpin (1=present)","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",4,"d_ac_yoy_rbt","> 0 (0-1)",">",0,1,TRUE,"young of year rainbow trout  (1=present)","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",5,"nt_native","> 1 (0-3)",">",0,3,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",5,"pi_nonnative","≤ 12% (7-17)","<=",7,17,FALSE,"percent (0-100) individuals - non-native taxa","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",5,"pt_ti_cold","≥ 20% (15-25)",">=",15,25,TRUE,"percent (0-100) taxa - cold","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",2,"nt_native","> 12 (11-14)",">",11,14,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",2,"nt_BCG2_att1234b","> 6 (5-8)",">",5,8,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",2,"pi_BCG_att123","≥ 55 (50-60)",">=",50,60,TRUE,"percent (0-100) individuals - BCG Attribute I + II + III","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",2,"pi_nonnative","< 0.1 (0-0.1)","<",0,0.1,FALSE,"percent (0-100) individuals - non-native","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",2,"nt_repro_lithophil","> 7 (6-9)",">",6,9,TRUE,"number of taxa - LITHOPHIL (requires clean, coarse substrate)","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",2,"pi_Cott","≥ 15 (10-20)",">=",10,20,TRUE,"percent (0-100) individuals - Family COTTIDAE","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",2,"n_ac_Cott","> 4 (3.5-5)",">",3.5,5,TRUE,"number of age classes - Family COTTIDAE","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",2,"d_ac_yoy_Cott","> 0 (0-1)",">",0,1,TRUE,"detection - young of year (age class 1 or 2) - Family COTTIDAE","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",2,"n_ac_rbt","> 5 (4.5-6)",">",4.5,6,TRUE,"number of age classes - Rainbow Trout","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",2,"d_ac_yoy_rbt","> 0 (0-1)",">",0,1,TRUE,"detection - young of year (age class 1 or 2) - Rainbow Trout","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",2,"pi_ti_cold","≥ 45 (40-50)",">=",40,50,TRUE,"percent (0-100) individuals - cold","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",2,"x_Obs_CatoRhin","> 1 (1-2)",">",1,2,TRUE,"presence of suckers and/or dace (2=both present)","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",3,"nt_native","> 8 (7-10)",">",7,10,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",3,"nt_BCG2_att1234b","> 3 (2-5)",">",2,5,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",3,"pi_BCG_att6t","< 0.1 (0-0.1)","<",0,0.1,FALSE,"percent (0-100) individuals - BCG Attribute VI t (very tolerant non-native)","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",3,"nt_repro_lithophil","> 4 (3-6)",">",3,6,TRUE,"number of taxa - LITHOPHIL (requires clean, coarse substrate)","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",3,"n_ac_Cott","> 2 (1.5-3.5)",">",1.5,3.5,TRUE,"number of age classes - Family COTTIDAE","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",3,"d_ac_yoy_Cott","> 0 (0-1)",">",0,1,TRUE,"detection - young of year (age class 1 or 2) - Family COTTIDAE","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",3,"n_ac_rbt","> 3 (2.5-4)",">",2.5,4,TRUE,"number of age classes - Rainbow Trout","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",3,"d_ac_yoy_rbt","> 0 (0-1)",">",0,1,TRUE,"detection - young of year (age class 1 or 2) - Rainbow Trout","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",3,"x_Obs_CatoRhin","> 1 (0.5-2)",">",0.5,2,TRUE,"presence of suckers and/or dace (2=both present)","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",3,"pi_BCG_att123","≥ 45 (40-50)",">=",40,50,TRUE,"percent (0-100) individuals - BCG Attribute I + II + III","Rule0","SMALL2","second worst",NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",3,"pi_nonnative","< 3 (.1-5)","<",0.1,5,FALSE,"percent (0-100) individuals - non-native","Rule0","SMALL2","second worst",NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",3,"pi_Cott","> 5 (1-10)",">",1,10,TRUE,"percent (0-100) individuals - Family COTTIDAE","Rule0","SMALL2","second worst",NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",3,"pi_ti_cold","≥ 35 (30-40)",">=",30,40,TRUE,"percent (0-100) individuals - cold","Rule0","SMALL2","second worst",NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",4,"nt_native","> 5 (4-7)",">",4,7,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",4,"nt_BCG2_att1234b","> 1 (0.5-2)",">",0.5,2,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",4,"nt_repro_lithophil","> 1 (0-3)",">",0,3,TRUE,"number of taxa - LITHOPHIL (requires clean, coarse substrate)","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",4,"n_ac_rbt","> 1 (0.5-2)",">",0.5,2,TRUE,"number of age classes - Rainbow Trout","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",4,"pi_BCG_att123","≥ 15 (10-20)",">=",10,20,TRUE,"percent (0-100) individuals - BCG Attribute I + II + III","Rule0","SMALL2","second worst",NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",4,"pi_nonnative","< 9 (7-10)","<",7,10,FALSE,"percent (0-100) individuals - non-native","Rule0","SMALL2","second worst",NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",4,"pi_Cott","> 0 (0-1)",">",0,1,TRUE,"percent (0-100) individuals - Family COTTIDAE","Rule0","SMALL2","second worst",NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",4,"pi_ti_cold","≥ 15 (10-20)",">=",10,20,TRUE,"percent (0-100) individuals - cold","Rule0","SMALL2","second worst",NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",4,"x_Obs_CatoRhin","> 0 (0-1)",">",0,1,TRUE,"presence of suckers and/or dace (2=both present)","Rule0","SMALL2","second worst",NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",5,"nt_native","> 3 (1-4)",">",1,4,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",5,"pi_BCG_att123","> 7 (5-10)",">",5,10,TRUE,"percent (0-100) individuals - BCG Attribute I + II + III","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_VetGlen",5,"pi_nonnative","≤ 20 (15-25)","<=",15,25,FALSE,"percent (0-100) individuals - non-native","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"nt_native","> 12 (11-14)",">",11,14,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"nt_BCG2_att1234b","> 6 (5-8)",">",5,8,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"pi_BCG_att123","≥ 80 (75-85)",">=",75,85,TRUE,"percent (0-100) individuals - BCG Attribute I + II + III","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"pi_nonnative","< 0.1 (0-0.1)","<",0,0.1,FALSE,"percent (0-100) individuals - non-native","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"nt_repro_lithophil","> 7 (6-9)",">",6,9,TRUE,"number of taxa - LITHOPHIL (requires clean, coarse substrate)","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"pi_Cott","≥ 45 (40-50)",">=",40,50,TRUE,"percent (0-100) individuals - Family COTTIDAE","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"n_ac_Cott","> 4 (3.5-5)",">",3.5,5,TRUE,"number of age classes - Family COTTIDAE","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"d_ac_yoy_Cott","> 0 (0-1)",">",0,1,TRUE,"detection - young of year (age class 1 or 2) - Family COTTIDAE","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"n_ac_rbt","> 5 (4.5-6)",">",4.5,6,TRUE,"number of age classes - Rainbow Trout","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"d_ac_yoy_rbt","> 0 (0-1)",">",0,1,TRUE,"detection - young of year (age class 1 or 2) - Rainbow Trout","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"pi_ti_cold","≥ 50 (45-55)",">=",45,55,TRUE,"percent (0-100) individuals - cold","Rule0",NA,NA,NA,NA,NA
"LBR_Fish_BCG_v1","Main_Eckert",2,"x_Obs_CatoRhin","> 1 (1-2)",">",1,2,TRUE,"presence of suckers and/or dace (2=both present)","Rule0",NA,NA,NA,NA,NA
